zip_id,hub_id,part_id
Z00065,H043,P0019
Z00065,H043,P0020
Z00065,H043,P0031
Z00065,H043,P0041
Z00065,H043,P0044
Z00065,H043,P0046
Z00065,H043,P0065
Z00065,H043,P0066
Z00065,H043,P0071
Z00065,H043,P0073
Z00065,H043,P0078
Z00065,H043,P0091
Z00065,H043,P0101
Z00065,H043,P0103
Z00065,H043,P0130
Z00066,H028,P0008
Z00066,H028,P0021
Z00066,H028,P0041
Z00066,H028,P0044
Z00066,H028,P0045
Z00066,H028,P0049
Z00066,H028,P0056
Z00066,H028,P0059
Z00066,H028,P0067
Z00066,H028,P0074
Z00066,H028,P0095
Z00066,H028,P0102
Z00066,H028,P0107
Z00066,H028,P0113
Z00066,H028,P0137
Z00066,H028,P0146
Z00066,H028,P0148
Z00067,H029,P0034
Z00067,H029,P0042
Z00067,H029,P0045
Z00067,H029,P0078
Z00067,H029,P0133
Z00067,H029,P0150
Z00067,H038,P0057
Z00067,H038,P0086
Z00067,H038,P0138
Z00068,H050,P0008
Z00068,H050,P0017
Z00068,H050,P0025
Z00068,H050,P0034
Z00068,H050,P0046
Z00068,H050,P0049
Z00068,H050,P0065
Z00068,H050,P0078
Z00068,H050,P0083
Z00068,H050,P0100
Z00068,H050,P0115
Z00068,H050,P0135
Z00069,H042,P0008
Z00069,H042,P0026
Z00069,H042,P0033
Z00069,H042,P0046
Z00069,H042,P0049
Z00069,H042,P0074
Z00069,H042,P0090
Z00069,H042,P0095
Z00069,H042,P0101
Z00069,H042,P0108
Z00069,H042,P0142
Z00069,H042,P0150
Z00070,H040,P0033
Z00070,H040,P0071
Z00070,H040,P0095
Z00070,H040,P0107
Z00070,H043,P0005
Z00070,H043,P0006
Z00070,H043,P0009
Z00070,H043,P0013
Z00070,H043,P0029
Z00070,H043,P0100
Z00070,H043,P0103
Z00070,H043,P0108
Z00070,H043,P0115
Z00070,H043,P0122
Z00070,H043,P0130
Z00070,H043,P0141
Z00071,H030,P0005
Z00071,H030,P0007
Z00071,H030,P0034
Z00071,H030,P0036
Z00071,H030,P0042
Z00071,H030,P0045
Z00071,H030,P0046
Z00071,H030,P0047
Z00071,H030,P0049
Z00071,H030,P0057
Z00071,H030,P0068
Z00071,H030,P0074
Z00071,H030,P0089
Z00071,H030,P0099
Z00071,H030,P0108
Z00071,H030,P0149
Z00072,H010,P0004
Z00072,H010,P0007
Z00072,H010,P0012
Z00072,H010,P0031
Z00072,H010,P0034
Z00072,H010,P0040
Z00072,H010,P0049
Z00072,H010,P0062
Z00072,H010,P0072
Z00072,H010,P0074
Z00072,H010,P0127
Z00072,H010,P0132
Z00072,H010,P0147
Z00072,H010,P0150
Z00072,H049,P0026
Z00072,H049,P0032
Z00072,H049,P0033
Z00072,H049,P0048
Z00072,H049,P0050
Z00072,H049,P0057
Z00072,H049,P0069
Z00072,H049,P0070
Z00072,H049,P0071
Z00072,H049,P0084
Z00072,H049,P0091
Z00072,H049,P0116
Z00072,H049,P0133
Z00072,H049,P0146
Z00073,H007,P0012
Z00073,H007,P0039
Z00073,H007,P0040
Z00073,H007,P0053
Z00073,H007,P0062
Z00073,H007,P0073
Z00073,H007,P0079
Z00073,H007,P0091
Z00073,H007,P0095
Z00073,H007,P0103
Z00073,H007,P0107
Z00073,H007,P0114
Z00073,H007,P0121
Z00073,H007,P0124
Z00073,H007,P0127
Z00073,H007,P0144
Z00074,H017,P0006
Z00074,H017,P0007
Z00074,H017,P0045
Z00074,H017,P0057
Z00074,H017,P0062
Z00074,H017,P0077
Z00074,H017,P0092
Z00074,H017,P0128
Z00074,H017,P0133
Z00074,H017,P0136
Z00074,H017,P0141
Z00074,H017,P0146
Z00075,H042,P0014
Z00075,H042,P0021
Z00075,H042,P0028
Z00075,H042,P0030
Z00075,H042,P0041
Z00075,H042,P0042
Z00075,H042,P0062
